u_id	document_id	person_id	speaker_note_id
i-NkRums6b1CHQZGRCi5YnEj	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-RXyW8mqZVGcikAkr3Fnb52	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-JHKkUD1nELCw6BVMbDAssa	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-B5TJjh7TjVSBNDHUmFRY2U	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-5hhud1CnkP9ydHTCnWKXhC	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-47MANvBmCPRWKAm4wauoj2	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-2nf6rzHToqD7iTEYeeeyuG	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-9zbViTvLk9hB7Zuwmuoxj3	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-VuUcHbhtdJ7TagTVus7HrZ	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-WRXPoCpzcxMpipF46Ypb1G	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-4piX32wJu1EzoSZMa94wKG	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-VyFCJamRQJcGKKPtXdHZ4Q	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-BKMejuMsgocA33uL4TVeTo	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-6fAbP4iJaiCQAtts7reL1v	0	Q53707	i-Bkg44LZGSspFsRj2JPUygm
i-PSaLxkiDMMu9nREkUjr2Sb	0	Q5887636	i-HdLbiXshQR8TDDP4VMJnnQ
i-Fbwyx8rE59zkNRGbtb5ssr	0	Q5887636	i-HdLbiXshQR8TDDP4VMJnnQ
i-HDWUcfNFyaj7g9HS2MLMPH	0	unknown	i-CKMmaHhBXUs3osofsGmp3i
i-6yjMcH63pBFcVcpEjNwdPf	0	Q1606431	i-UkQxch5pf9NNYtCNdkpfot
i-PjEVqAAVxp3aJ7eGZS42UC	0	Q1606431	i-UkQxch5pf9NNYtCNdkpfot
i-WENY46LuAstmZMDQEMd56Q	0	unknown	i-Suz7d5bLSBxBVgiFKy5CFr
i-3UVgmZFHWxUSggRrJmhjGz	0	unknown	i-KxrsXzKNt2UGTZKrwMr7Cj
i-J15iVsvza53Nvu3MgnZPj	0	Q1606431	i-8LTrg4tWJK2URB3MxgDM2a
i-RA6h3yZzfd1aDtsbngM7VB	0	unknown	i-99VbHXArrQRwfF8rdNJxCZ
i-XLer2db5288gsgfWtpBFjC	0	unknown	i-99VbHXArrQRwfF8rdNJxCZ
i-93a68b64a21edd1d-1	0	unknown	missing
i-CrLyo6WntTQnoKVoaG1i9L	0	unknown	missing
i-WQdLbMLDQisPVMTkGRwSoJ	1	unknown	missing
i-FQhBDbWZEe6axdTGfpVKRX	1	unknown	missing
i-Nybx6AZfsYtQBMtbf7dhJr	1	unknown	missing
i-JwRwZdR3KgY8jW68bCDACH	1	unknown	missing
i-SvgRqjJahHao1ACtQ845qm	1	unknown	missing
i-E3MN4JpDhoaXeQS7rAdVn1	1	unknown	missing
i-Qx9atcAoFD94ZkEor8eLf3	1	unknown	missing
i-4nVVadb8PywrNy6FtA8iYc	1	unknown	missing
i-PUu3Z5soBfDVo1mNimoJYW	1	unknown	missing
i-HqfvmmQesJKYpRahcNnU5n	1	unknown	missing
i-TtBNbN3UUVRKuJXA8WSVTB	1	unknown	missing
i-9xqNTnDtDNLK2kaqt1njBd	1	unknown	missing
i-Vkah3mjawTZ5zeZvXfD5sc	1	unknown	missing
i-BZ4YFUEb6gkrzZvwwHbeXq	1	unknown	missing
i-NLkPFjaog2fuH6Gi5vKgM9	1	unknown	missing
i-5T59gjkk833Hjm5aWh2c4T	1	unknown	missing
i-Hv2LVdxq5hm1MEhS6xuCP1	1	unknown	missing
i-T9mxYFgKHLKwPxMcdNohP4	1	unknown	missing
i-LgS6MGtoojgUegBEkffMJ2	1	unknown	missing
i-3x2JmxRHWpNLD1zqo2Qpbs	1	unknown	missing
i-W94Ucmqda9EJH2dnBFR7RQ	1	unknown	missing
i-ABFTGvM4TnaS39n6WaMQSZ	1	unknown	missing
i-LsvkUG8rsvyWrAfsj8CBfG	1	unknown	missing
i-P6NYGVJRBcq3HkN5dkN5sh	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-KjdwdTnhWTb7HHt2TBjyEG	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-L1PYygFAB6b2E9YnRbz5ML	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-5jvio8oUHWtvBeDPyR7cbY	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-2WoehnwP8cLzubj63A6gzr	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-3J3PvVHYi1FfzRVykxJPNN	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-RXd2Q9Z3gBPNiGMAuymY5r	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-6YcUvBG8PMq4LBUqe3UeVg	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-Q4j7CR25rJCofpwfe59SSY	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-HEBeePUujf7feUwsdizvM7	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-YQgKbSMpxzuSBz3CjtQNtA	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-6YiaKTAmdbNoFjY1quFto7	1	Q1606431	i-3gGhneRp5MKBWsTy4CHUVE
i-d677f22b18382dff-0	2	Q707581	i-XN9xPnavSm16xxVkAi9Bov
i-6KzWTytL3jMWrytbCKq5sA	2	Q707581	i-XN9xPnavSm16xxVkAi9Bov
i-Dm8zdEaQ3gHj5KucntGwtM	2	Q707581	i-XN9xPnavSm16xxVkAi9Bov
